Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
981,Andre Gray,jm JAM,FW,Watford,eng Premier League,26,1991,16.6,2,1,0,1,1,11,0,11,4,6,3,0
982,Demarai Gray,eng ENG,MFFW,Leicester City,eng Premier League,21,1996,18.9,17,15,6,9,2,27,0,27,11,28,14,1
983,Michael Gregoritsch,at AUT,MFFW,Augsburg,de Bundesliga,23,1994,28.1,35,27,13,15,7,27,1,26,10,45,56,0
984,Clément Grenier,fr FRA,MF,Guingamp,fr Ligue 1,26,1991,13.4,23,14,3,13,7,16,1,15,14,37,15,1
985,Clément Grenier,fr FRA,FW,Lyon,fr Ligue 1,26,1991,0.1,1,1,1,0,0,0,0,0,0,1,0,0
986,Anto Grgić,ch SUI,MF,Stuttgart,de Bundesliga,20,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0
987,Antoine Griezmann,fr FRA,FWMF,Atlético Madrid,es La Liga,26,1991,28,36,24,6,23,7,20,1,19,10,46,14,0
988,Vincenzo Grifo,it ITA,MFFW,M'Gladbach,de Bundesliga,24,1993,8.7,8,5,3,3,2,8,1,7,5,13,6,0
989,Florian Grillitsch,at AUT,MF,Hoffenheim,de Bundesliga,21,1995,21,68,46,30,36,2,26,3,23,39,107,25,1
990,Jérémy Grimm,fr FRA,MF,Strasbourg,fr Ligue 1,30,1987,9,23,17,15,6,2,11,3,8,19,42,31,1
991,Pascal Groß,de GER,FWMF,Brighton,eng Premier League,26,1991,32.5,36,24,18,16,2,31,5,26,14,50,20,0
992,Marko Grujić,rs SRB,MFDF,Liverpool,eng Premier League,21,1996,0.2,2,2,0,1,1,0,0,0,0,2,0,0
993,Vicente Guaita,es ESP,GK,Getafe,es La Liga,30,1987,33,0,0,0,0,0,0,0,0,3,3,12,1
994,Andrés Guardado,mx MEX,MF,Betis,es La Liga,30,1986,25.2,41,27,17,18,6,27,5,22,22,63,29,1
995,Karim Guédé,sk SVK,FW,Freiburg,de Bundesliga,32,1985,0.7,2,2,2,0,0,1,1,0,1,3,0,0
996,Gonçalo Guedes,pt POR,MF,Valencia,es La Liga,20,1996,27.1,38,26,18,15,5,22,0,22,16,54,10,0
997,Gonçalo Guedes,pt POR,FW,Paris S-G,fr Ligue 1,20,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0
998,Ramiro Guerra,uy URU,MF,Villarreal,es La Liga,20,1997,0.8,3,2,1,0,2,0,0,0,0,3,2,0
999,Raphaël Guerreiro,pt POR,DFMF,Dortmund,de Bundesliga,23,1993,6.1,10,8,5,4,1,3,0,3,11,21,8,0
1000,Francis Guerrero,es ESP,DFMF,Betis,es La Liga,21,1996,11,31,19,22,7,2,16,4,12,21,52,26,0
1001,John Guidetti,se SWE,FW,Alavés,es La Liga,25,1992,13.6,7,7,3,1,3,10,1,9,2,9,7,0
1002,John Guidetti,se SWE,FWMF,Celta Vigo,es La Liga,25,1992,1.3,0,0,0,0,0,0,0,0,0,0,0,0
1003,Josuha Guilavogui,fr FRA,MF,Wolfsburg,de Bundesliga,26,1990,26.7,65,46,43,20,2,34,10,24,66,131,63,0
1004,Frederic Guilbert,fr FRA,DF,Caen,fr Ligue 1,22,1994,36,136,89,71,58,7,43,13,30,88,224,136,0
1005,Guilherme,br BRA,MFFW,Benevento,it Serie A,26,1991,10.5,20,11,7,7,6,14,1,13,8,28,4,0
1006,Guilherme,br BRA,MF,La Coruña,es La Liga,26,1991,29.3,79,56,35,37,7,36,9,27,46,125,62,0
1007,Baptiste Guillaume,be BEL,FWMF,Angers,fr Ligue 1,22,1995,5.1,4,1,0,2,2,4,1,3,2,6,1,0
1008,Sehrou Guirassy,gn GUI,FW,Köln,de Bundesliga,21,1996,9.5,3,3,0,2,1,9,1,8,1,4,11,0
1009,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,27,1990,33,0,0,0,0,0,0,0,0,0,0,12,4
1010,Manuel Gulde,de GER,DF,Freiburg,de Bundesliga,26,1991,17,16,10,14,2,0,24,17,7,14,30,71,0
1011,Gerard Gumbau,es ESP,MF,Leganés,es La Liga,22,1994,15.9,35,26,13,21,1,12,4,8,14,49,27,0
1012,İlkay Gündoğan,de GER,MF,Manchester City,eng Premier League,26,1990,16.9,27,15,8,14,5,14,1,13,16,43,12,0
1013,Christian Günter,de GER,DFMF,Freiburg,de Bundesliga,24,1993,34,73,54,45,21,7,38,7,31,20,93,68,0
1014,Jon Guridi,es ESP,MF,Real Sociedad,es La Liga,22,1995,0.6,1,0,1,0,0,1,0,1,0,1,0,0
1015,Régis Gurtner,fr FRA,GK,Amiens,fr Ligue 1,30,1986,37,1,0,1,0,0,0,0,0,4,5,15,4
1016,Samuel Gustafson,se SWE,MFFW,Torino,it Serie A,22,1995,0.9,3,2,3,0,0,2,0,2,0,3,0,0
1017,Luiz Gustavo,br BRA,MFDF,Marseille,fr Ligue 1,30,1987,33.5,89,54,45,40,4,44,13,31,50,139,56,1
1018,Alejandro Gutiérrez Mozo,es ESP,MF,Leganés,es La Liga,22,1995,0.5,3,2,1,2,0,0,0,0,0,3,0,0
