Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s
1681,Maximilian Mittelstädt,de GER,MFDF,Hertha BSC,de Bundesliga,20,1997,11,5,424,4.7
1682,Henrikh Mkhitaryan,am ARM,FWMF,Arsenal,eng Premier League,28,1989,11,9,794,8.8
1683,Henrikh Mkhitaryan,am ARM,MFFW,Manchester Utd,eng Premier League,28,1989,15,11,922,10.2
1684,Luka Modrić,hr CRO,MF,Real Madrid,es La Liga,31,1985,26,23,1970,21.9
1685,Niklas Moisander,fi FIN,DF,Werder Bremen,de Bundesliga,31,1985,25,25,2250,25
1686,Johan Mojica,co COL,DF,Girona,es La Liga,24,1992,30,22,2135,23.7
1687,Jorge Molina,es ESP,FW,Getafe,es La Liga,35,1982,36,31,2786,31
1688,Daniel Molina Orta,es ESP,MF,Celta Vigo,es La Liga,21,1996,1,0,5,0.1
1689,Cristian Molinaro,it ITA,DF,Torino,it Serie A,34,1983,20,17,1564,17.4
1690,Francisco Molinero,es ESP,DF,Getafe,es La Liga,32,1985,10,5,579,6.4
1691,Florent Mollet,fr FRA,MFFW,Metz,fr Ligue 1,25,1991,22,16,1412,15.7
1692,Momo,es ESP,FWMF,Las Palmas,es La Liga,35,1982,13,8,673,7.5
1693,Thomas Monconduit,fr FRA,MF,Amiens,fr Ligue 1,26,1991,34,34,2948,32.8
1694,Kévin Monnet-Paquet,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,28,1988,30,21,1763,19.6
1695,Nacho Monreal,es ESP,DF,Arsenal,eng Premier League,31,1986,28,26,2243,24.9
1696,Jefferson Montero,ec ECU,MFFW,Getafe,es La Liga,27,1989,4,0,58,0.6
1697,Riccardo Montolivo,it ITA,MF,Milan,it Serie A,32,1985,18,12,1087,12.1
1698,Martín Montoya,es ESP,DF,Valencia,es La Liga,26,1991,25,24,2152,23.9
1699,Walter Montoya,ar ARG,FW,Sevilla,es La Liga,24,1993,1,1,76,0.8
1700,Shaquell Moore,us USA,DF,Levante,es La Liga,20,1996,6,5,424,4.7
1701,Aaron Mooy,au AUS,MF,Huddersfield,eng Premier League,26,1990,36,34,3067,34.1
1702,Emre Mor,tr TUR,FWMF,Celta Vigo,es La Liga,20,1997,23,4,665,7.4
1703,Luca Mora,it ITA,MF,SPAL,it Serie A,29,1988,17,10,934,10.4
1704,Sergio Mora,es ESP,MF,Getafe,es La Liga,37,1979,26,6,813,9
1705,Erik Morán,es ESP,MF,Leganés,es La Liga,26,1991,6,2,228,2.5
1706,Álvaro Morata,es ESP,FW,Chelsea,eng Premier League,24,1992,31,24,2061,22.9
1707,Jan Morávek,cz CZE,MF,Augsburg,de Bundesliga,27,1989,16,7,702,7.8
1708,Jérémy Morel,mg MAD,DF,Lyon,fr Ligue 1,33,1984,33,32,2916,32.4
1709,Alberto Moreno,es ESP,DF,Liverpool,eng Premier League,25,1992,16,14,1266,14.1
1710,Gerard Moreno,es ESP,FW,Espanyol,es La Liga,25,1992,38,38,3412,37.9
1711,Héctor Moreno,mx MEX,DF,Roma,it Serie A,29,1988,5,2,230,2.6
1712,Héctor Moreno,mx MEX,DF,Real Sociedad,es La Liga,29,1988,8,8,720,8
1713,Marlos Moreno,co COL,MFDF,Girona,es La Liga,20,1996,2,0,30,0.3
1714,Emiliano Moretti,it ITA,DF,Torino,it Serie A,36,1981,22,19,1782,19.8
1715,Wes Morgan,jm JAM,DF,Leicester City,eng Premier League,33,1984,32,32,2817,31.3
1716,Loren Morón,es ESP,FW,Betis,es La Liga,23,1993,15,12,1060,11.8
1717,James Morrison,sct SCO,MF,West Brom,eng Premier League,31,1986,4,2,207,2.3
1718,Victor Moses,ng NGA,DFMF,Chelsea,eng Premier League,26,1990,28,25,2110,23.4
1719,Pedro Mosquera,es ESP,MF,La Coruña,es La Liga,29,1988,23,16,1396,15.5
1720,Lebo Mothiba,za RSA,FW,Lille,fr Ligue 1,21,1996,14,14,1184,13.2
1721,Thiago Motta,it ITA,MF,Paris S-G,fr Ligue 1,34,1982,19,14,1154,12.8
1722,François Moubandje,ch SUI,DF,Toulouse,fr Ligue 1,27,1990,21,20,1699,18.9
1723,Jessy Moulin,fr FRA,GK,Saint-Étienne,fr Ligue 1,31,1986,4,3,305,3.4
1724,Steve Mounié,bj BEN,FW,Huddersfield,eng Premier League,22,1994,28,21,1855,20.6
1725,Lucas Moura,br BRA,FWMF,Tottenham,eng Premier League,24,1992,6,2,210,2.3
1726,Lucas Moura,br BRA,FW,Paris S-G,fr Ligue 1,24,1992,5,0,76,0.8
1727,Lys Mousset,fr FRA,FWMF,Bournemouth,eng Premier League,21,1996,23,4,596,6.6
1728,João Moutinho,pt POR,MF,Monaco,fr Ligue 1,30,1986,33,31,2803,31.1
1729,Samuel Moutoussamy,cd COD,MF,Nantes,fr Ligue 1,20,1996,7,4,431,4.8
1730,Toni Moya,es ESP,MF,Atlético Madrid,es La Liga,19,1998,1,0,3,0
1731,Ndombe Mubele,cd COD,FWMF,Toulouse,fr Ligue 1,23,1994,11,4,368,4.1
1732,Ndombe Mubele,cd COD,FWMF,Rennes,fr Ligue 1,23,1994,19,13,1227,13.6
1733,Nordi Mukiele,fr FRA,DF,Montpellier,fr Ligue 1,19,1997,33,31,2791,31
1734,Álex Mula,es ESP,FWMF,Málaga,es La Liga,21,1996,11,7,561,6.2
1735,Florian Müller,de GER,GK,Mainz 05,de Bundesliga,19,1997,5,5,450,5
1736,Nicolai Müller,de GER,DFMF,Hamburger SV,de Bundesliga,29,1987,2,1,101,1.1
1737,Thomas Müller,de GER,MFFW,Bayern Munich,de Bundesliga,27,1989,29,22,2005,22.3
1738,Iker Muniain,es ESP,MFFW,Athletic Club,es La Liga,24,1992,14,7,780,8.7
1739,Marc Muniesa,es ESP,DF,Girona,es La Liga,25,1992,13,13,1127,12.5
1740,Ezequiel Muñoz,ar ARG,DF,Leganés,es La Liga,26,1990,19,17,1407,15.6
1741,Sulley Muntari,gh GHA,MF,La Coruña,es La Liga,32,1984,8,6,405,4.5
1742,Alessandro Murgia,it ITA,MF,Lazio,it Serie A,20,1996,16,9,777,8.6
