Player,Nation,Squad,score
Luciano Vietto,ARG,Atlético Madrid,8.29
Luciano Vietto,ARG,Valencia,16.24
Carlos Vigaray,ESP,Alavés,23.81
Dídac Vilà,ESP,Espanyol,55.24
Nicolas Viola,ITA,Benevento,45.99
Vitolo,ESP,Las Palmas,23.51
Vitolo,ESP,Atlético Madrid,22.53
Federico Viviani,ITA,SPAL,82.86
Oswaldo Vizcarrondo,VEN,Troyes,56.47
Nikola Vlašić,CRO,Everton,18.31
Kevin Vogt,GER,Hoffenheim,75.88
Sam Vokes,WAL,Burnley,26.36
Kevin Volland,GER,Leverkusen,76.84
Stefan de Vrij,NED,Lazio,91.58
Šime Vrsaljko,CRO,Atlético Madrid,27.31
Jagoš Vuković,SRB,Hellas Verona,40.66
Sandro Wagner,GER,Hoffenheim,28.63
Sandro Wagner,GER,Bayern Munich,21.36
Molla Wagué,MLI,Watford,12.46
Wakaso,GHA,Alavés,42.01
Walace,BRA,Hamburger SV,51.10
Theo Walcott,ENG,Everton,47.71
Luca Waldschmidt,GER,Hamburger SV,29.82
Kyle Walker,ENG,Manchester City,71.45
Wallace,BRA,Lazio,33.94
Rémi Walter,FRA,Nice,20.02
Rémi Walter,FRA,Troyes,32.80
Aaron Wan-Bissaka,ENG,Crystal Palace,53.83
Victor Wanyama,KEN,Tottenham,19.58
Joel Ward,ENG,Crystal Palace,53.62
Stephen Ward,IRL,Burnley,70.47
James Ward-Prowse,ENG,Southampton,77.95
Daniel Wass,DEN,Celta Vigo,87.41
Ben Watson,ENG,Watford,13.45
Julian Weigl,GER,Dortmund,50.32
Mitchell Weiser,GER,Hertha BSC,66.81
Danny Welbeck,ENG,Arsenal,33.06
Wendell,BRA,Leverkusen,65.42
Oscar Wendt,SWE,M'Gladbach,64.30
Timo Werner,GER,RB Leipzig,91.05
Ashley Westwood,ENG,Burnley,74.35
Silvan Widmer,SUI,Udinese,50.24
Georginio Wijnaldum,NED,Liverpool,76.08
Jetro Willems,NED,Eint Frankfurt,40.19
William,BRA,Wolfsburg,63.13
Ashley Williams,WAL,Everton,58.73
Danny Williams,USA,Huddersfield,32.57
Iñaki Williams,GHA,Athletic Club,85.78
Willian,BRA,Chelsea,61.73
Jack Wilshere,ENG,Arsenal,34.94
Callum Wilson,ENG,Bournemouth,68.35
Kevin Wimmer,AUT,Stoke City,41.95
Harry Winks,ENG,Tottenham,37.22
Marius Wolf,GER,Eint Frankfurt,78.13
Bobby Wood,USA,Hamburger SV,59.52
Chris Wood,NZL,Burnley,60.00
Xeka,POR,Dijon,40.28
Granit Xhaka,SUI,Arsenal,79.38
Claudio Yacob,ARG,West Brom,27.30
Steeve Yago,BFA,Toulouse,49.43
Cédric Yamberé,CTA,Dijon,80.69
Jawad El Yamiq,MAR,Genoa,11.70
Andriy Yarmolenko,UKR,Dortmund,33.41
DeAndre Yedlin,USA,Newcastle Utd,56.27
Maya Yoshida,JPN,Southampton,38.36
Ashley Young,ENG,Manchester Utd,57.20
Pablo Zabaleta,ARG,West Ham,57.44
Dan-Axel Zagadou,FRA,Dortmund,28.68
Wilfried Zaha,CIV,Crystal Palace,78.93
Denis Zakaria,SUI,M'Gladbach,56.41
Joseba Zaldúa,ESP,Leganés,86.58
Andre-Frank Zambo Anguissa,CMR,Marseille,72.75
Francesco Zampano,ITA,Udinese,12.55
Cristián Zapata,COL,Milan,31.65
Duván Zapata,COL,Sampdoria,61.15
Davide Zappacosta,ITA,Chelsea,30.87
Simone Zaza,ITA,Valencia,62.03
Marvin Zeegelaar,NED,Watford,29.22
Mehdi Zeffane,ALG,Rennes,33.36
Nabil El Zhar,MAR,Leganés,48.65
Piotr Zieliński,POL,Napoli,72.77
Oleksandr Zinchenko,UKR,Manchester City,34.60
Simon Zoller,GER,Köln,32.93
Kurt Zouma,FRA,Stoke City,90.91
Igor Zubeldia,ESP,Real Sociedad,61.72
Steven Zuber,SUI,Hoffenheim,31.63
Bruno Zuculini,ARG,Hellas Verona,38.25
Franco Zuculini,ARG,Hellas Verona,10.37
Ervin Zukanović,BIH,Genoa,78.91
Bongani Zungu,RSA,Amiens,51.26
David Zurutuza,ESP,Real Sociedad,50.81
Filip Đuričić,SRB,Benevento,30.19
Yunis Abdelhamid,MAR,Reims,87.54
Francesco Acerbi,ITA,Lazio,91.41
Afriyie Acquah,GHA,Empoli,44.40
Tyler Adams,USA,RB Leipzig,45.58
Luis Advíncula,PER,Rayo Vallecano,73.49
Nayef Aguerd,MAR,Dijon,29.34
Juan Aguilera,ESP,Huesca,11.26
Jean-Eudes Aholou,CIV,Monaco,33.35
Ola Aina,NGA,Torino,57.34
Youssef Aït Bennasser,MAR,Saint-Étienne,28.84
Youssef Aït Bennasser,MAR,Monaco,34.29
Ludovic Ajorque,REU,Strasbourg,70.88
Carlos Akapo,EQG,Huesca,32.41
Kevin Akpoguma,NGA,Hannover 96,10.26
Sofiane Alakouch,MAR,Nîmes,54.44
Paco Alcácer,ESP,Dortmund,27.21
Rubén Alcaraz,ESP,Valladolid,75.51
Carles Aleñá,ESP,Barcelona,20.26
Rachid Alioui,MAR,Nîmes,40.75
Miguel Almirón,PAR,Newcastle Utd,65.93
Júnior Alonso,PAR,Celta Vigo,16.07
Mickaël Alphonse,GLP,Dijon,27.82
Sergio Álvarez,ESP,Eibar,40.73
Bruno Alves,POR,Parma,73.06
Ibrahim Amadou,FRA,Sevilla,21.97
Jordi Amat,ESP,Rayo Vallecano,84.65
Felipe Anderson,BRA,West Ham,66.57
Florin Andone,ROU,Brighton,24.74
Marco Andreolli,ITA,Chievo,19.97
Luca Antonelli,ITA,Empoli,22.16
Antoñito,ESP,Valladolid,45.25
Anuar,MAR,Valladolid,33.53
Guilherme Arana,BRA,Sevilla,17.99
Néstor Araujo,MEX,Celta Vigo,79.93
Santiago Arias,COL,Atlético Madrid,44.99
Lorenzo Ariaudo,ITA,Frosinone,64.25
Yoël Armougom,FRA,Caen,55.50
Stuart Armstrong,SCO,Southampton,51.32
Harry Arter,IRL,Cardiff City,60.04
Kwadwo Asamoah,GHA,Inter,48.69
Takuma Asano,JPN,Hannover 96,21.56
Youcef Atal,ALG,Nice,40.16
Ezequiel Ávila,ARG,Huesca,61.21
Jordan Ayew,GHA,Crystal Palace,58.19
Kaan Ayhan,TUR,Düsseldorf,86.85
Floyd Ayité,TOG,Fulham,14.83
Abdoulaye Ba,SEN,Rayo Vallecano,65.04
Ryan Babel,NED,Fulham,38.80
Juninho Bacuna,CUW,Huddersfield,41.84
Leandro Bacuna,CUW,Cardiff City,16.66
Milan Badelj,CRO,Lazio,35.81
Benoît Badiashile,FRA,Monaco,63.40
Stéphane Bahoken,CMR,Angers,44.37
Tiemoué Bakayoko,FRA,Milan,43.24
Ridle Baku,GER,Mainz 05,55.11
Fabián Balbuena,PAR,West Ham,41.75
Keita Baldé,SEN,Inter,24.52
Fodé Ballo-Touré,SEN,Monaco,40.63
Leon Balogun,NGA,Brighton,17.23
Mario Balotelli,ITA,Marseille,25.48
Jonathan Bamba,FRA,Lille,73.65
Sol Bamba,CIV,Cardiff City,72.87
Yacine Bammou,MAR,Caen,27.26
Federico Barba,ITA,Chievo,78.10
Danilo Barbosa,BRA,Nice,40.04
Antonino Barillà,ITA,Parma,63.47
Ross Barkley,ENG,Chelsea,33.89
Aymen Barkok,MAR,Düsseldorf,16.54
Harvey Barnes,ENG,Leicester City,49.26
Antonio Barreca,ITA,Monaco,18.13
Ander Barrenetxea,ESP,Real Sociedad,19.14
Toma Bašić,CRO,Bordeaux,48.73
Borja Bastón,ESP,Alavés,43.31
Alessandro Bastoni,ITA,Parma,50.46
Michy Batshuayi,BEL,Crystal Palace,20.32
Michy Batshuayi,BEL,Valencia,15.89
Robert Bauer,GER,Nürnberg,60.67
Jon Bautista,ESP,Real Sociedad,13.51
Paul Baysse,FRA,Caen,53.84
Claudio Beauvue,GLP,Caen,43.47
Bebé,CPV,Rayo Vallecano,31.82
Andrea Beghetto,ITA,Frosinone,85.09
Hanno Behrens,GER,Nürnberg,91.05
Ishak Belfodil,ALG,Hoffenheim,29.75
Fran Beltrán,ESP,Celta Vigo,55.87
Hatem Ben Arfa,FRA,Rennes,60.10
Ismaël Bennacer,ALG,Empoli,90.08
Joe Bennett,ENG,Cardiff City,78.74
Ryan Bennett,ENG,Wolves,52.63
Yuri Berchiche,ESP,Athletic Club,69.87
Bernard,BRA,Everton,41.26
Bernardo,BRA,Brighton,36.13
Juan Bernat,ESP,Paris S-G,47.68
Louis Beyer,GER,M'Gladbach,34.14
Jonathan Biabiany,FRA,Parma,31.47
Pedro Bigas,ESP,Eibar,41.64
Valter Birsa,SVN,Cagliari,12.89
Yves Bissouma,MLI,Brighton,61.65
Leonardo Bittencourt,GER,Hoffenheim,36.12
Pablo de Blasis,ARG,Eibar,50.99
Alexis Blin,FRA,Amiens,63.76
Kevin-Prince Boateng,GHA,Sassuolo,26.80
Antonin Bobichon,FRA,Nîmes,71.31
Adam Bodzek,GER,Düsseldorf,58.19
Jean-Paul Boëtius,NED,Mainz 05,68.66
Jeremie Boga,CIV,Sassuolo,46.24
Willy Boly,CIV,Wolves,58.03
Kevin Bonifazi,ITA,SPAL,57.02
Leonardo Bonucci,ITA,Juventus,77.81
Robin Bormuth,GER,Düsseldorf,20.00
Olivier Boscagli,FRA,Nice,26.47
Gabriel Boschilia,BRA,Nantes,39.58
John Bostock,TRI,Toulouse,31.73
Denis Bouanga,GAB,Nîmes,84.83
Ryad Boudebouz,ALG,Celta Vigo,21.41
Sofiane Boufal,MAR,Celta Vigo,60.98
Nassim Boujellab,MAR,Schalke 04,14.65
Mehdi Bourabia,MAR,Sassuolo,34.61
Umut Bozok,TUR,Nîmes,39.77
Filip Bradarić,CRO,Cagliari,48.95
Martin Braithwaite,DEN,Leganés,53.92
Darko Brašanac,SRB,Alavés,49.18
Joshua Brenet,NED,Hoffenheim,31.15
Anthony Briançon,FRA,Nîmes,66.18
Jimmy Briand,FRA,Bordeaux,43.60
Nicolò Brighenti,ITA,Frosinone,38.88
David Brooks,WAL,Bournemouth,39.47
Jeffrey Bruma,NED,Schalke 04,20.17
Jacob Bruun Larsen,DEN,Dortmund,40.63
Joe Bryan,ENG,Fulham,47.48
Niko Bungert,GER,Mainz 05,9.57
Fabrizio Cacciatore,ITA,Cagliari,27.80
Martín Cáceres,URU,Juventus,20.74
Anthony Caci,FRA,Strasbourg,66.64
Mathieu Cafaro,FRA,Reims,48.41
Tom Cairney,SCO,Fulham,48.22
Arturo Calabresi,ITA,Bologna,43.74
Fernando Calero,ESP,Valladolid,98.81
Duje Ćaleta-Car,CRO,Marseille,60.96
Jonathan Calleri,ARG,Alavés,86.43
Víctor Camarasa,ESP,Cardiff City,77.14
Eduardo Camavinga,FRA,Rennes,49.36
Joel Campbell,CRC,Frosinone,33.59
Emre Can,GER,Juventus,33.60
Sergio Canales,ESP,Betis,87.72
João Cancelo,POR,Juventus,64.48
Ander Capa,ESP,Athletic Club,70.62
Leonardo Capezzi,ITA,Empoli,23.64
Marco Capuano,ITA,Frosinone,90.14
Francesco Caputo,ITA,Empoli,96.95
Marc Cardona,ESP,Eibar,19.11
Lionel Carole,FRA,Strasbourg,46.90
Guido Carrillo,ARG,Leganés,52.64
William Carvalho,POR,Betis,50.57
Santiago Cáseres,ARG,Villarreal,47.53
Francesco Cassata,ITA,Frosinone,42.40
Samu Castillejo,ESP,Milan,34.07
Gonzalo Castro,GER,Stuttgart,54.55
Jonny Castro,ESP,Wolves,52.31
Lucas Castro,ARG,Cagliari,23.72
Danilo Cataldi,ITA,Lazio,26.96
Ivan Cavaleiro,POR,Wolves,19.98
Santi Cazorla,ESP,Villarreal,77.01
Federico Ceccherini,ITA,Fiorentina,21.45
Zeki Çelik,TUR,Lille,73.72
Fabio Ceravolo,ITA,Parma,34.42
Alberto Cerri,ITA,Cagliari,15.92
Nacer Chadli,BEL,Monaco,21.22
Calum Chambers,ENG,Fulham,82.37
Xavier Chavalerin,FRA,Reims,77.16
Pablo Chavarría,ARG,Reims,54.94
Pape Cheikh Diop,SEN,Lyon,14.20
Denis Cheryshev,RUS,Valencia,32.56
Raman Chibsah,GHA,Frosinone,99.74
Cyrus Christie,IRL,Fulham,61.77
Samuel Chukwueze,NGA,Villarreal,46.15
Camillo Ciano,ITA,Frosinone,92.78
Laurent Ciman,BEL,Dijon,21.82
Daniel Ciofani,ITA,Frosinone,59.97
Nathaniel Clyne,ENG,Bournemouth,33.33
Conor Coady,ENG,Wolves,98.65
Omar Colley,GAM,Sampdoria,75.09
Santi Comesaña,ESP,Rayo Vallecano,73.29
Andrea Conti,ITA,Milan,34.42
Duje Čop,CRO,Valladolid,20.89
Andreas Cornelius,DEN,Bordeaux,22.62
Joaquín Correa,ARG,Lazio,57.67
Hélder Costa,ANG,Wolves,38.05
David Costas,ESP,Celta Vigo,22.94
Senou Coulibaly,MLI,Dijon,29.08
Domenico Criscito,ITA,Genoa,69.41
Lorenzo Crisetig,ITA,Frosinone,19.63
Bryan Cristante,ITA,Roma,70.92
Sebastián Cristóforo,URU,Getafe,13.58
Cucho,COL,Huesca,66.34
Marc Cucurella,ESP,Eibar,75.75
Matheus Cunha,BRA,RB Leipzig,19.77
Greg Cunningham,IRL,Cardiff City,18.91
Marco D'Alessandro,ITA,Udinese,45.28
Damien Da Silva,FRA,Rennes,78.79
Colin Dagba,FRA,Paris S-G,33.37
Diogo Dalot,POR,Manchester Utd,40.03
Sebastien De Maio,FRA,Udinese,35.69
Grégoire Defrel,MTQ,Sampdoria,69.18
Alessandro Deiola,ITA,Parma,16.19
Romain Del Castillo,FRA,Rennes,31.74
Thomas Delaney,DEN,Dortmund,49.44
Moisés Delgado,ESP,Valladolid,8.36
Cristian Dell'Orco,ITA,Empoli,30.76
Andy Delort,ALG,Montpellier,60.11
Moussa Dembélé,FRA,Lyon,52.11
Merih Demiral,TUR,Sassuolo,37.48
Jason Denayer,BEL,Lyon,68.78
Leander Dendoncker,BEL,Wolves,63.08
Clément Depres,FRA,Nîmes,14.54
Federico Di Francesco,ITA,Sassuolo,30.85
Antonio Di Gaudio,ITA,Parma,20.08
Giovanni Di Lorenzo,ITA,Empoli,100.00
Boulaye Dia,SEN,Reims,51.20
Moussa Diaby,FRA,Paris S-G,37.38
Adama Diakhaby,FRA,Huddersfield,15.74
Mouctar Diakhaby,GUI,Valencia,54.76
Bafodé Diakité,FRA,Toulouse,31.64
Abdou Diallo,SEN,Dortmund,81.87
Mustapha Diallo,SEN,Nîmes,14.99
Grady Diangana,ENG,West Ham,17.47
Brahim Díaz,ESP,Real Madrid,11.79
Daniel Didavi,GER,Stuttgart,23.19
Adrián Diéguez,ESP,Huesca,23.16
Lucas Digne,FRA,Everton,81.04
Mitchell Dijks,NED,Bologna,40.02
Javairô Dilrosun,NED,Hertha BSC,29.51
Federico Dimarco,ITA,Parma,27.03
Tristan Dingomé,CMR,Reims,32.35
Issa Diop,FRA,West Ham,57.64
Sofiane Diop,FRA,Monaco,48.01
Assane Dioussé,SEN,Chievo,28.40
Koffi Djidji,CIV,Torino,40.05
Berat Djimsiti,ALB,Atalanta,77.04
Johan Djourou,SUI,SPAL,9.02
Matt Doherty,IRL,Wolves,87.78
Ji Dong-won,KOR,Augsburg,29.77
Gabriel Dos Santos,BRA,Lille,46.54
Mathieu Dossevi,TOG,Toulouse,64.67
Moussa Doumbia,MLI,Reims,40.65
Seydou Doumbia,CIV,Girona,16.94
Souleyman Doumbia,CIV,Rennes,18.37
Aleksandar Dragović,AUT,Leverkusen,39.97
Leo Dubois,FRA,Lyon,64.54
Marvin Ducksch,GER,Düsseldorf,26.07
Erik Durm,GER,Huddersfield,60.19
Riza Durmisi,DEN,Lazio,9.73
Hugo Duro,ESP,Getafe,11.63
Bruno Ecuele Manga,GAB,Cardiff City,100.00
Johannes Eggestein,GER,Werder Bremen,25.58
Albin Ekdal,SWE,Sampdoria,68.15
Gorka Elustondo,ESP,Rayo Vallecano,8.88
Mohamed Elyounoussi,NOR,Southampton,38.42
Adri Embarba,ESP,Rayo Vallecano,67.93
Emerson,BRA,Betis,63.63
Youssef En-Nesyri,MAR,Leganés,56.51
Björn Engels,BEL,Reims,86.35
Patrick Erras,GER,Nürnberg,42.75
Alexander Esswein,GER,Stuttgart,38.81
Xabier Etxeita,ESP,Huesca,83.33
Lucas Evangelista,BRA,Nantes,21.65
Jonny Evans,NIR,Leicester City,67.41
Ewerton,BRA,Nürnberg,47.60
Fabinho,BRA,Liverpool,63.77
Fábio,BRA,Nantes,40.35
Cesc Fàbregas,ESP,Monaco,29.98
Fayçal Fajr,MAR,Caen,100.00
Diego Falcinelli,ITA,Bologna,20.84
Mohamed Fares,ALG,SPAL,54.15
Diego Farias,BRA,Empoli,34.11
Edimilson Fernandes,SUI,Fiorentina,59.42
Borja Fernández,ESP,Valladolid,26.48
Federico Fernández,ARG,Newcastle Utd,56.61
Joaquín Fernández,ESP,Valladolid,47.59
Juan Ferney Otero,COL,Amiens,54.09
Alex Ferrari,ITA,Sampdoria,30.89
David Ferreiro,ESP,Huesca,75.26
Jordan Ferri,FRA,Nîmes,63.60
Oliver Fink,GER,Düsseldorf,27.48
Phil Foden,ENG,Manchester City,35.20
Guessouma Fofana,MTN,Guingamp,13.97
Youssouf Fofana,FRA,Strasbourg,30.28
Thomas Foket,BEL,Reims,79.79
Thomas Fontaine,MAD,Reims,12.39
José Fonte,POR,Lille,88.31
Rui Fonte,POR,Lille,17.52
Timothy Fosu-Mensah,NED,Fulham,25.31
Dimitri Foulquier,FRA,Getafe,52.86
Juan Foyth,ARG,Tottenham,25.40
Fred,BRA,Manchester Utd,55.91
Ryan Fredericks,ENG,West Ham,30.23
Alexander Fuchs,GER,Nürnberg,22.88
Ramiro Funes Mori,ARG,Villarreal,37.46
Manolo Gabbiadini,ITA,Sampdoria,35.40
Riccardo Gagliolo,SWE,Parma,77.34
Javi Galán,ESP,Huesca,72.24
Álex Gallar,ESP,Huesca,31.97
Enric Gallego,ESP,Huesca,46.95
Álex Gálvez,ESP,Rayo Vallecano,43.56
Kévin Gameiro,FRA,Valencia,42.80
Ignatius Ganago,CMR,Nice,32.30
Ganso,BRA,Amiens,17.77
Álvaro García,ESP,Rayo Vallecano,70.63
Dani García,ESP,Athletic Club,76.67
Manu García,ESP,Toulouse,58.09
Raúl García,ESP,Girona,28.17
Marcello Gazzola,ITA,Parma,27.31
Gerson,BRA,Fiorentina,73.28
Gervinho,CIV,Parma,64.27
Rachid Ghezzal,ALG,Leicester City,21.41
Paolo Ghiglione,ITA,Frosinone,19.70
Saman Ghoddos,IRN,Amiens,58.50
Morgan Gibbs-White,ENG,Wolves,15.78
Niko Gießelmann,GER,Düsseldorf,76.11
Daniel Ginczek,GER,Wolfsburg,32.22
Serge Gnabry,GER,Bayern Munich,59.39
Joris Gnagnon,FRA,Sevilla,13.19
Eddy Gnahoré,FRA,Amiens,56.93
Massimo Gobbi,ITA,Parma,35.85
Kevin Goden,GER,Nürnberg,9.48
Edoardo Goldaniga,ITA,Frosinone,100.00
Aleksandr Golovin,RUS,Monaco,53.25
André Gomes,POR,Everton,46.45
Ibai Gómez,ESP,Athletic Club,17.73
Moi Gómez,ESP,Huesca,97.69
Sergi Gómez,ESP,Sevilla,41.03
Maxime Gonalons,FRA,Sevilla,15.84
Jérôme Gondorf,GER,Freiburg,41.30
Nicolás González,ARG,Stuttgart,47.39
Jon Gorenc Stanković,SVN,Huddersfield,20.89
Leon Goretzka,GER,Bayern Munich,51.45
Mirko Gori,ITA,Frosinone,12.78
Andoni Gorosabel,ESP,Real Sociedad,43.36
Jonathan Gradit,FRA,Caen,60.58
Samuel Grandsir,FRA,Monaco,14.02
Karlan Grant,ENG,Huddersfield,24.83
Alberto Grassi,ITA,Parma,22.75
Clément Grenier,FRA,Rennes,46.69
Vincenzo Grifo,ITA,Hoffenheim,11.44
Vincenzo Grifo,ITA,Freiburg,65.91
Marko Grujić,SRB,Hertha BSC,70.25
Sergi Guardiola,ESP,Valladolid,60.30
Mattéo Guendouzi,FRA,Arsenal,57.41
Baptiste Guillaume,BEL,Nîmes,37.84
Sehrou Guirassy,GUI,Amiens,48.43
Aron Gunnarsson,ISL,Cardiff City,67.95
Koray Günter,GER,Genoa,26.88
Serdar Gürler,TUR,Huesca,14.97
Munir El Haddadi,MAR,Sevilla,25.40
André Hahn,GER,Augsburg,55.63
Amadou Haidara,MLI,RB Leipzig,40.09
Achraf Hakimi,MAR,Dortmund,77.27
Emil Hallfreðsson,ISL,Frosinone,15.11
Dávid Hancko,SVK,Fiorentina,8.49
Genki Haraguchi,JPN,Hannover 96,67.71
Martin Harnik,AUT,Werder Bremen,25.98
Kadeem Harris,ENG,Cardiff City,11.13
Dominique Heintz,GER,Freiburg,75.42
Rouwen Hennings,GER,Düsseldorf,67.24
Benjamin Henrichs,GER,Monaco,42.20
Uche Henry Agbo,NGA,Rayo Vallecano,11.72
Christophe Hérelle,MTQ,Nice,62.70
Theo Hernández,FRA,Real Sociedad,58.54
Yangel Herrera,VEN,Huesca,36.48
Gonzalo Higuaín,ARG,Chelsea,29.18
Gonzalo Higuaín,ARG,Milan,37.39
Martin Hinteregger,AUT,Eint Frankfurt,74.19
Andrew Hjulsager,DEN,Celta Vigo,10.49
Wesley Hoedt,NED,Celta Vigo,26.85
André Hoffmann,GER,Düsseldorf,57.69
Junior Hoilett,CAN,Cardiff City,62.98
Callum Hudson-Odoi,ENG,Chelsea,22.89
Suk Hyun-jun,KOR,Reims,22.06
Simone Iacoponi,ITA,Parma,76.61
Vicente Iborra,ESP,Villarreal,46.68
Didier Ibrahim Ndong,GAB,Guingamp,22.30
Edgar Ié,POR,Nantes,23.39
Borja Iglesias,ESP,Espanyol,87.09
Jonathan Ikone,FRA,Lille,56.45
Giannelli Imbula,COD,Rayo Vallecano,52.98
Emmanuel Imorou,BEN,Caen,33.81
Roberto Inglese,ITA,Parma,31.92
Danny Ings,ENG,Southampton,59.19
Pablo Insua,ESP,Huesca,37.55
Takashi Inui,JPN,Alavés,25.38
Takashi Inui,JPN,Betis,11.36
Mikael Ishak,SWE,Nürnberg,65.06
Armando Izzo,ITA,Torino,64.86
Alireza Jahanbakhsh,IRN,Brighton,17.93
Jakub Jankto,CZE,Sampdoria,53.95
Jesé,ESP,Betis,22.93
Raúl Jiménez,MEX,Wolves,68.46
Joelinton,BRA,Hoffenheim,70.75
Stefan Johansen,NOR,Fulham,13.37
Jakob Johansson,SWE,Rennes,21.54
Jony,ESP,Alavés,90.80
Jorginho,ITA,Chelsea,73.25
Evens Joseph,FRA,Caen,9.84
Diogo Jota,POR,Wolves,65.81
Miguel Juan Llambrich,ESP,Villarreal,15.81
Juanfran,ESP,Leganés,48.72
Juanpi,VEN,Huesca,20.98
Nathaël Julan,FRA,Guingamp,12.55
David Juncà,ESP,Celta Vigo,52.83
Hamed Junior Traorè,CIV,Empoli,66.15
Vinicius Júnior,BRA,Real Madrid,51.73
Ozan Kabak,TUR,Stuttgart,42.56
Gaël Kakuta,COD,Rayo Vallecano,21.52
Nikola Kalinić,CRO,Atlético Madrid,18.96
Samuel Kalu,NGA,Bordeaux,28.54
Aboubakar Kamara,MTN,Fulham,15.48
Hassane Kamara,CIV,Reims,39.36
Marcin Kamiński,POL,Düsseldorf,79.34
Wilfried Kanga,CIV,Angers,14.41
Wilfrid Kaptoum,CMR,Betis,23.49
Kenan Karaman,TUR,Düsseldorf,35.72
Yann Karamoh,FRA,Bordeaux,35.72
Rick Karsdorp,NED,Roma,63.38
Moise Kean,ITA,Juventus,24.05
Thilo Kehrer,GER,Paris S-G,47.79
Jules Keita,GUI,Dijon,12.81
Naby Keïta,GUI,Liverpool,27.60
Keko,ESP,Valladolid,47.04
Marc-Oliver Kempf,GER,Stuttgart,60.78
Sebastian Kerk,GER,Nürnberg,40.90
Saîf-Eddine Khaoui,TUN,Caen,39.89
Wahbi Khazri,TUN,Saint-Étienne,52.81
Sofian Kiyine,MAR,Chievo,25.56
Davy Klaassen,NED,Werder Bremen,92.10
Felix Klaus,GER,Wolfsburg,17.88
Ragnar Klavan,EST,Cagliari,46.14
Justin Kluivert,NED,Roma,43.39
Lukas Klünter,GER,Hertha BSC,38.10
Törles Knöll,GER,Nürnberg,12.62
Timothée Kolodziejczak,FRA,Saint-Étienne,68.35
Ghislain Konan,CIV,Reims,60.31
Lamine Koné,CIV,Strasbourg,49.54
Youssouf Koné,MLI,Lille,49.92
Filip Kostić,SRB,Eint Frankfurt,91.92
Christian Kouamé,CIV,Genoa,62.10
Cheikhou Kouyaté,SEN,Crystal Palace,67.23
Mateo Kovačić,CRO,Chelsea,53.40
Dawid Kownacki,POL,Düsseldorf,26.27
Emil Krafth,SWE,Amiens,97.32
Luka Krajnc,SVN,Frosinone,30.60
Vasyl Kravets,UKR,Leganés,16.28
Rade Krunić,BIH,Empoli,81.54
Yuya Kubo,JPN,Nürnberg,46.74
Juraj Kucka,SVK,Parma,57.61
Pierre Kunde,CMR,Mainz 05,48.76
Ahmed Kutucu,TUR,Schalke 04,17.10
Enock Kwateng,FRA,Nantes,62.75
Antonino La Gumina,ITA,Empoli,30.42
Gaëtan Laborde,FRA,Montpellier,63.75
Diego Lainez,MEX,Betis,15.69
Loïck Landre,FRA,Nîmes,45.94
Michael Lang,SUI,M'Gladbach,40.03
Danilo Larangeira,BRA,Bologna,91.02
Diego Laxalt,URU,Milan,19.91
Miguel Layún,MEX,Villarreal,14.86
Maxime Le Marchand,FRA,Fulham,72.63
Robin Le Normand,FRA,Real Sociedad,65.85
Damien Le Tallec,FRA,Montpellier,64.98
Rafael Leão,POR,Lille,35.11
Jordan Lefort,FRA,Amiens,43.70
Wu Lei,CHN,Espanyol,30.60
Tim Leibold,GER,Nürnberg,99.26
Thomas Lemar,FRA,Atlético Madrid,43.70
Clément Lenglet,FRA,Barcelona,59.92
Lukas Lerager,DEN,Genoa,39.12
Mehdi Léris,ALG,Chievo,50.28
Jefferson Lerma,COL,Bournemouth,76.85
Aaron Leya Iseka,BEL,Toulouse,33.41
Stephan Lichtsteiner,SUI,Arsenal,26.92
Anthony Limbombe,BEL,Nantes,36.71
Fernando Llorente,ESP,Tottenham,18.58
Giovani Lo Celso,ARG,Betis,74.77
Jürgen Locadia,NED,Brighton,35.21
Manuel Locatelli,ITA,Sassuolo,75.81
Ruben Loftus-Cheek,ENG,Chelsea,34.36
Enzo Loiodice,FRA,Dijon,24.63
Samuele Longo,ITA,Huesca,16.85
Sean Longstaff,ENG,Newcastle Utd,41.87
Ademola Lookman,NGA,Everton,20.07
Cristian López,ESP,Angers,11.03
Lluis López,ESP,Espanyol,12.45
Unai López,ESP,Athletic Club,38.92
Eduard Löwen,GER,Nürnberg,57.19
Luisinho,POR,Huesca,16.38
Dodi Lukebakio,BEL,Düsseldorf,62.42
Saša Lukić,SRB,Torino,60.17
Sebastiano Luperto,ITA,Napoli,19.15
Lyanco,BRA,Bologna,34.57
Hervé Lybohy,NIG,Nîmes,48.91
Darwin Machís,VEN,Udinese,14.02
James Maddison,ENG,Leicester City,71.31
Pablo Maffeo,ESP,Stuttgart,19.02
Giangiacomo Magnani,ITA,Sassuolo,45.11
Riyad Mahrez,ALG,Manchester City,49.09
Raffaele Maiello,ITA,Frosinone,80.71
Domenico Maietta,ITA,Empoli,51.40
Linton Maina,GER,Hannover 96,44.54
Abdul Majeed Waris,GHA,Nantes,65.45
Jean-Victor Makengo,FRA,Nice,30.09
Nemanja Maksimović,SRB,Getafe,87.34
Nikola Maksimović,SRB,Napoli,45.01
Malcom,BRA,Barcelona,18.21
Kévin Malcuit,MAR,Napoli,31.57
Rolando Mandragora,ITA,Udinese,54.65
Martín Mantovani,ARG,Huesca,21.98
