Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Med_Cmp,Med_Att,Med_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog
1541,Banzouzi Locko,fr FRA,MFDF,Reims,fr Ligue 1,19,2002,11.2,350,458,76.4,5230,1951,203,245,82.9,104,138,75.4,26,42,61.9,1,0.5,0.4,+0.5,7,22,6,1,26
1542,Renan Lodi,br BRA,DF,Atlético Madrid,es La Liga,23,1998,13.1,485,625,77.6,7099,1760,279,316,88.3,166,207,80.2,19,52,36.5,2,1.9,2.1,+0.1,11,16,9,3,20
1543,Ruben Loftus-Cheek,eng ENG,MFDF,Chelsea,eng Premier League,25,1996,15.5,876,981,89.3,13025,3047,507,547,92.7,315,355,88.7,33,42,78.6,2,2.7,2.4,-0.7,18,77,20,0,75
1544,Kevin Long,ie IRL,DF,Burnley,eng Premier League,30,1990,4.6,79,102,77.5,1696,601,19,22,86.4,46,54,85.2,14,21,66.7,0,0,0,0,0,2,0,0,4
1545,Shane Long,ie IRL,FW,Southampton,eng Premier League,34,1987,3.4,43,72,59.7,411,97,32,46,69.6,5,11,45.5,0,1,0,0,0.1,0.1,-0.1,2,4,1,0,3
1546,Sean Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,23,1997,16.3,481,604,79.6,8348,2303,229,271,84.5,177,200,88.5,52,89,58.4,1,0.8,0.8,+0.2,7,44,4,0,33
1547,Ademola Lookman,ng NGA,FWMF,Leicester City,eng Premier League,23,1997,16.1,405,536,75.6,5124,1306,260,313,83.1,113,136,83.1,8,21,38.1,0,2.4,1.8,-2.4,23,19,20,1,43
1548,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,30,1990,33.1,945,1129,83.7,24234,17011,151,153,98.7,540,542,99.6,251,430,58.4,0,0,0,0,0,4,0,0,1
1549,David López,es ESP,MFDF,Espanyol,es La Liga,31,1989,8.3,354,427,82.9,5762,2012,166,189,87.8,157,174,90.2,18,39,46.2,0,0.2,0.4,-0.2,3,22,1,0,18
1550,Diego López,es ESP,GK,Espanyol,es La Liga,39,1981,35.3,857,1160,73.9,23893,16033,149,152,98,426,433,98.4,278,568,48.9,0,0,0,0,1,12,0,0,0
1551,Javi López,es ESP,DF,Alavés,es La Liga,19,2002,5.1,155,218,71.1,2862,1050,68,76,89.5,63,85,74.1,20,46,43.5,0,0.4,0.5,-0.4,4,13,5,3,10
1552,Maxime Lopez,fr FRA,MF,Sassuolo,it Serie A,23,1997,32.6,2357,2599,90.7,36504,12686,1271,1338,95,849,927,91.6,155,199,77.9,1,3.4,2,-2.4,49,254,15,4,178
1553,Pau López,es ESP,GK,Marseille,fr Ligue 1,26,1994,29,1136,1334,85.2,25402,15433,298,298,100,620,627,98.9,216,405,53.3,1,0.5,0.1,+0.5,1,14,0,0,1
1554,Unai López,es ESP,MF,Rayo Vallecano,es La Liga,25,1995,12.9,690,841,82,12902,3159,308,329,93.6,241,270,89.3,110,186,59.1,0,1.9,2.1,-1.9,24,58,12,3,55
1555,Dion Lopy,sn SEN,MF,Reims,fr Ligue 1,19,2002,18.2,537,622,86.3,9450,1888,247,277,89.2,194,211,91.9,72,89,80.9,0,0.5,0.3,-0.5,9,42,0,0,41
1556,Samuel Loric,fr FRA,DF,Lorient,fr Ligue 1,21,2000,3,84,122,68.9,1266,390,47,58,81,25,37,67.6,7,16,43.8,0,0,0.2,0,0,1,2,2,4
1557,Anthony Losilla,fr FRA,MF,Bochum,de Bundesliga,35,1986,32.6,984,1291,76.2,19457,5109,351,459,76.5,445,548,81.2,166,214,77.6,0,1,1.2,-1,16,57,11,2,75
1558,Jonas Lössl,dk DEN,GK,Brentford,eng Premier League,32,1989,2,42,61,68.9,1177,782,6,6,100,17,18,94.4,18,36,50,0,0,0,0,0,2,0,0,1
1559,Marcel Lotka,pl POL,GK,Hertha BSC,de Bundesliga,20,2001,9.8,201,336,59.8,6643,5439,28,29,96.6,83,87,95.4,90,219,41.1,0,0,0,0,0,6,0,0,0
1560,Jordan Lotomba,ch SUI,DF,Nice,fr Ligue 1,22,1998,19.8,818,1011,80.9,11873,4589,502,558,90,246,301,81.7,44,74,59.5,0,1.4,1.6,-1.4,14,55,15,11,58
1561,Johaneko Louisjean,fr FRA,DF,Bordeaux,fr Ligue 1,17,2004,0.1,5,6,83.3,87,28,1,1,100,2,3,66.7,1,1,100,0,0,0,0,0,1,0,0,0
1562,Mamadou Loum,sn SEN,MF,Alavés,es La Liga,24,1996,25.7,606,835,72.6,11052,3266,259,331,78.2,265,333,79.6,75,129,58.1,0,0.7,0.5,-0.7,9,60,3,1,59
1563,Imran Louza,ma MAR,MF,Watford,eng Premier League,22,1999,15.7,521,711,73.3,9666,3087,208,254,81.9,226,284,79.6,75,143,52.4,0,1.2,1.1,-1.2,15,63,8,1,48
1564,Matteo Lovato,it ITA,DF,Atalanta,it Serie A,21,2000,3.4,165,194,85.1,2978,935,77,83,92.8,69,79,87.3,18,24,75,0,0.2,0,-0.2,2,14,1,0,6
1565,Matteo Lovato,it ITA,DF,Cagliari,it Serie A,21,2000,13.8,488,592,82.4,10110,4269,139,159,87.4,268,298,89.9,69,111,62.2,0,0.3,0.1,-0.3,4,21,2,0,21
1566,Eduard Löwen,de GER,MF,Bochum,de Bundesliga,24,1997,15.7,440,684,64.3,8264,3169,202,258,78.3,142,202,70.3,76,149,51,2,4.6,4,-2.6,41,56,11,5,51
1567,Matthew Lowton,eng ENG,DF,Burnley,eng Premier League,32,1989,19.7,599,887,67.5,10846,5050,302,344,87.8,197,286,68.9,90,208,43.3,2,2.6,1.6,-0.6,18,65,21,9,52
1568,Anthony Lozano,hn HON,FWMF,Cádiz,es La Liga,28,1993,18.6,175,282,62.1,2419,629,107,151,70.9,44,69,63.8,10,21,47.6,2,1.1,1.1,+0.9,10,15,6,3,16
1569,Hirving Lozano,mx MEX,FW,Napoli,it Serie A,26,1995,17.9,454,585,77.6,6134,1388,298,342,87.1,126,157,80.3,13,23,56.5,5,2.5,2.6,+2.5,28,22,32,12,46
1570,Jean Lucas,br BRA,MF,Monaco,fr Ligue 1,23,1998,16.1,638,820,77.8,10614,2591,317,364,87.1,234,283,82.7,63,112,56.3,1,1.8,2.1,-0.8,17,74,15,5,51
1571,Anderson Lucoqui,ao ANG,DF,Mainz 05,de Bundesliga,24,1997,8.3,147,246,59.8,2438,1085,73,96,76,60,92,65.2,12,44,27.3,0,0.3,0.3,-0.3,6,11,3,2,13
1572,Florentino Luís,pt POR,MF,Getafe,es La Liga,21,1999,11,341,436,78.2,5713,1597,164,201,81.6,136,161,84.5,31,43,72.1,1,0.4,0.5,+0.6,9,39,3,0,22
1573,José Luis Gayà,es ESP,DF,Valencia,es La Liga,26,1995,20.8,650,903,72,11938,4642,282,326,86.5,281,360,78.1,78,176,44.3,4,2.7,2.5,+1.3,23,38,31,18,51
1574,José Luis Morales,es ESP,FWMF,Levante,es La Liga,34,1987,30.2,497,774,64.2,8019,2631,273,339,80.5,149,223,66.8,52,114,45.6,7,5.5,3.8,+1.5,36,47,36,10,63
1575,José Luis Palomino,ar ARG,DF,Atalanta,it Serie A,31,1990,29.7,1349,1663,81.1,26093,9737,469,539,87,700,802,87.3,160,265,60.4,0,0.3,0.6,-0.3,5,89,7,2,101
1576,Luismi,es ESP,FWMF,Sevilla,es La Liga,20,2001,0.1,3,7,42.9,42,33,2,3,66.7,1,1,100,0,1,0,0,0,0,0,0,0,1,0,1
1577,Douglas Luiz,br BRA,MF,Aston Villa,eng Premier League,23,1998,30.2,1290,1550,83.2,21991,7066,567,644,88,559,629,88.9,121,210,57.6,3,3.2,2.2,-0.2,37,107,19,2,94
1578,Romelu Lukaku,be BEL,FW,Chelsea,eng Premier League,28,1993,17.7,231,327,70.6,2627,415,157,194,80.9,43,65,66.2,6,12,50,0,3.4,1.7,-3.4,24,10,9,0,13
1579,Castello Lukeba,fr FRA,DF,Lyon,fr Ligue 1,18,2002,23.3,1506,1673,90,27726,10237,531,573,92.7,859,917,93.7,106,147,72.1,0,0.3,0.2,-0.3,4,66,2,0,73
1580,Dodi Lukebakio,be BEL,FW,Hertha BSC,de Bundesliga,23,1997,2,24,37,64.9,385,64,13,17,76.5,7,10,70,3,4,75,0,0,0,0,0,0,0,0,0
1581,Dodi Lukebakio,be BEL,FWMF,Wolfsburg,de Bundesliga,23,1997,9.8,227,301,75.4,3432,630,122,148,82.4,68,89,76.4,20,34,58.8,2,2.3,2.1,-0.3,11,14,10,4,16
1582,Saša Lukić,rs SRB,MF,Torino,it Serie A,24,1996,33.1,1512,1741,86.8,26251,6157,649,714,90.9,691,760,90.9,129,164,78.7,4,4.5,3.4,-0.5,32,146,18,3,96
1583,Levi Lumeka,eng ENG,MFFW,Troyes,fr Ligue 1,22,1998,0.7,10,16,62.5,125,19,5,5,100,2,6,33.3,1,2,50,0,0,0,0,0,1,1,1,0
1584,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,22,1999,2,70,80,87.5,1696,1086,12,12,100,43,46,93.5,15,22,68.2,0,0,0,0,0,0,0,0,0
1585,Andrey Lunyov,ru RUS,GK,Leverkusen,de Bundesliga,29,1991,1,43,49,87.8,1028,707,9,9,100,27,27,100,7,13,53.8,0,0,0,0,0,0,0,0,0
1586,Sebastiano Luperto,it ITA,DF,Empoli,it Serie A,24,1996,21.8,821,982,83.6,16406,6050,249,279,89.2,478,524,91.2,88,159,55.3,1,0.6,0.4,+0.4,9,56,5,2,66
1587,Andreas Luthe,de GER,GK,Union Berlin,de Bundesliga,34,1987,27,660,1005,65.7,19469,14514,119,120,99.2,290,300,96.7,249,576,43.2,0,0,0.1,0,0,26,0,0,0
1588,Lyanco,br BRA,DF,Southampton,eng Premier League,24,1997,10.1,282,397,71,5428,2134,94,107,87.9,158,189,83.6,25,89,28.1,0,0.1,0.1,-0.1,3,25,2,0,14
1589,Charalambos Lykogiannis,gr GRE,DFFW,Cagliari,it Serie A,27,1993,20.2,460,766,60.1,8461,3808,194,252,77,220,337,65.3,43,136,31.6,0,1.1,1,-1.1,12,33,9,7,27
1590,Yannis M'Bemba,fr FRA,DFFW,Nantes,fr Ligue 1,20,2001,0.1,4,4,100,51,9,3,3,100,1,1,100,0,0,,0,0,0,0,0,0,0,0,0
1591,Alexis Mac Allister,ar ARG,MFFW,Brighton,eng Premier League,22,1998,23.6,858,1066,80.5,14410,4157,411,473,86.9,328,370,88.6,78,133,58.6,2,2.7,2.6,-0.7,31,104,25,2,96
1592,Deiver Machado,co COL,DFMF,Lens,fr Ligue 1,27,1993,5.8,211,256,82.4,3297,998,100,110,90.9,96,108,88.9,8,19,42.1,1,1,0.8,0,8,5,5,5,10
1593,Darwin Machís,ve VEN,MFFW,Granada,es La Liga,28,1993,15.3,273,429,63.6,4813,1460,132,157,84.1,95,143,66.4,35,78,44.9,2,2.8,2.7,-0.8,18,26,18,10,26
1594,Yvann Macon,fr FRA,DF,Saint-Étienne,fr Ligue 1,22,1998,17,748,1002,74.7,12088,4019,404,473,85.4,260,332,78.3,59,122,48.4,0,1.7,1.3,-1.7,13,62,18,12,55
1595,James Maddison,eng ENG,MFFW,Leicester City,eng Premier League,24,1996,27.3,796,1089,73.1,13401,4128,389,453,85.9,292,365,80,89,198,44.9,8,5.4,3.9,+2.6,48,82,38,7,104
1596,Niki Mäenpää,fi FIN,GK,Venezia,it Serie A,36,1985,16.5,353,523,67.5,9427,6883,95,96,99,152,156,97.4,102,265,38.5,1,0.5,0.3,+0.5,1,4,1,0,0
1597,Pablo Maffeo,es ESP,DF,Mallorca,es La Liga,24,1997,32.7,888,1328,66.9,14240,5931,466,554,84.1,333,493,67.5,62,193,32.1,4,2.5,3.2,+1.5,28,30,30,21,53
1598,Louis Mafouta,cf CTA,FW,Metz,fr Ligue 1,27,1994,5.8,110,141,78,1273,190,69,85,81.2,25,31,80.6,2,5,40,0,0.4,0.4,-0.4,2,5,0,0,4
1599,Giulio Maggiore,it ITA,MF,Spezia,it Serie A,23,1998,31.3,834,1123,74.3,13492,4437,421,507,83,332,400,83,59,138,42.8,3,2.8,1.9,+0.2,31,96,28,1,97
1600,Matej Maglica,hr CRO,MF,Stuttgart,de Bundesliga,22,1998,0.1,0,1,0,0,0,0,1,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0
1601,Francesco Magnanelli,it ITA,MF,Sassuolo,it Serie A,36,1984,3,228,255,89.4,3913,1045,111,119,93.3,85,90,94.4,24,34,70.6,0,0,0.1,0,1,24,1,0,13
1602,Giangiacomo Magnani,it ITA,DF,Hellas Verona,it Serie A,25,1995,5.9,174,229,76,3305,1190,57,69,82.6,97,119,81.5,17,31,54.8,0,0,0,0,0,17,1,0,8
1603,Giangiacomo Magnani,it ITA,DF,Sampdoria,it Serie A,25,1995,2.7,130,155,83.9,2576,927,39,45,86.7,76,80,95,14,27,51.9,0,0,0,0,0,5,0,0,3
1604,Hugo Magnetti,fr FRA,MF,Brest,fr Ligue 1,23,1998,16.3,574,685,83.8,10444,2439,228,257,88.7,247,273,90.5,73,105,69.5,1,0.8,0.7,+0.2,7,60,8,1,40
1605,Yohann Magnin,fr FRA,MFDF,Clermont Foot,fr Ligue 1,24,1997,19.1,726,903,80.4,11680,3381,374,428,87.4,264,305,86.6,59,104,56.7,0,0.6,0.9,-0.6,8,65,15,2,53
1606,Harry Maguire,eng ENG,DF,Manchester Utd,eng Premier League,28,1993,27.9,1353,1578,85.7,27400,9647,436,476,91.6,722,792,91.2,174,265,65.7,0,0.2,0.6,-0.2,4,116,2,0,83
1607,Riyad Mahrez,dz ALG,FW,Manchester City,eng Premier League,30,1991,16.6,777,947,82,11969,2132,443,486,91.2,264,313,84.3,53,102,52,5,4.5,3.8,+0.5,39,27,34,6,44
1608,Arne Maier,de GER,MF,Augsburg,de Bundesliga,22,1999,20.7,609,849,71.7,11377,3577,249,300,83,235,315,74.6,99,171,57.9,6,3.8,3.1,+2.2,33,55,19,6,61
1609,Habib Maïga,ci CIV,MF,Metz,fr Ligue 1,25,1996,14.1,458,577,79.4,7408,2251,232,268,86.6,181,220,82.3,28,55,50.9,0,0.6,0.4,-0.6,10,47,3,1,36
1610,Mike Maignan,fr FRA,GK,Milan,it Serie A,26,1995,32,914,1155,79.1,24901,17353,172,172,100,430,432,99.5,305,543,56.2,1,0.3,0.1,+0.7,2,36,2,0,1
1611,Ainsley Maitland-Niles,eng ENG,MF,Arsenal,eng Premier League,23,1997,3,106,138,76.8,1811,549,46,58,79.3,54,62,87.1,6,13,46.2,0,0.4,0.5,-0.4,3,16,4,1,9
1612,Ainsley Maitland-Niles,eng ENG,DF,Roma,it Serie A,23,1997,5.4,249,326,76.4,4079,1366,126,142,88.7,96,122,78.7,20,41,48.8,0,0.6,1,-0.6,5,15,6,4,21
1613,Josh Maja,ng NGA,FW,Bordeaux,fr Ligue 1,22,1998,0.1,4,5,80,51,12,3,3,100,1,2,50,0,0,,0,0.2,0,-0.2,1,0,1,0,1
1614,Abdul Majeed Waris,gh GHA,FWMF,Strasbourg,fr Ligue 1,29,1991,3.6,97,132,73.5,1324,306,62,75,82.7,26,35,74.3,4,7,57.1,0,0.7,1.1,-0.7,4,6,3,2,7
1615,Lovro Majer,hr CRO,MFFW,Rennes,fr Ligue 1,23,1998,20.4,801,1052,76.1,13554,3713,383,443,86.5,298,371,80.3,87,160,54.4,8,5.9,5.7,+2.1,45,85,30,5,79
1616,Jean-Victor Makengo,fr FRA,MF,Udinese,it Serie A,23,1998,26.1,702,843,83.3,10197,2658,404,449,90,232,266,87.2,32,49,65.3,3,2.6,1.3,+0.4,26,70,15,3,54
1617,Béni Makouana,cg CGO,FWMF,Montpellier,fr Ligue 1,18,2002,3.6,54,80,67.5,665,144,35,45,77.8,12,17,70.6,1,2,50,0,0.4,0.6,-0.4,4,5,3,1,3
1618,Nemanja Maksimović,rs SRB,MF,Getafe,es La Liga,26,1995,32.6,661,865,76.4,9680,2170,389,459,84.7,204,265,77,38,69,55.1,2,1.2,1,+0.8,19,47,7,1,33
1619,Nikola Maksimović,rs SRB,DF,Genoa,it Serie A,29,1991,12.4,421,508,82.9,8193,3302,145,165,87.9,221,244,90.6,52,88,59.1,0,0.1,0.1,-0.1,2,37,1,1,28
1620,Kévin Malcuit,ma MAR,DFMF,Napoli,it Serie A,30,1991,3.2,110,156,70.5,1710,723,61,74,82.4,40,52,76.9,8,19,42.1,1,0.2,0.3,+0.8,2,7,3,1,6
1621,Daniel Maldini,it ITA,MF,Milan,it Serie A,19,2001,1.6,33,48,68.8,479,118,20,27,74.1,12,14,85.7,1,2,50,0,0.1,0.1,-0.1,1,1,1,0,2
1622,Youssef Maleh,it ITA,MF,Fiorentina,it Serie A,22,1998,11.3,332,417,79.6,5343,1275,181,207,87.4,119,144,82.6,24,40,60,2,1.9,2,+0.1,14,30,7,4,29
1623,Donyell Malen,nl NED,FW,Dortmund,de Bundesliga,22,1999,18.7,394,542,72.7,4863,1149,241,308,78.2,95,137,69.3,13,24,54.2,3,3.7,2.1,-0.7,21,19,18,5,29
1624,Ruslan Malinovskyi,ua UKR,MFFW,Atalanta,it Serie A,28,1993,17.7,669,928,72.1,11706,3601,293,352,83.2,257,329,78.1,87,162,53.7,5,6.7,5.3,-1.7,45,70,48,6,96
1625,Hugo Mallo,es ESP,DF,Celta Vigo,es La Liga,30,1991,20.3,934,1244,75.1,14611,5612,469,524,89.5,384,516,74.4,48,126,38.1,1,2.1,1.9,-1.1,20,61,23,9,69
1626,Lennard Maloney,us USA,DF,Dortmund,de Bundesliga,21,1999,0.1,13,16,81.3,267,83,5,5,100,6,6,100,2,5,40,0,0,0.1,0,1,1,1,1,0
1627,Mickael Malsa,mq MTQ,MF,Levante,es La Liga,25,1995,12.7,434,538,80.7,7587,2515,204,229,89.1,180,202,89.1,44,84,52.4,2,2.5,1.1,-0.5,10,46,5,0,48
1628,Giorgi Mamardashvili,ge GEO,GK,Valencia,es La Liga,20,2000,18,281,498,56.4,10131,8320,36,38,94.7,105,110,95.5,138,345,40,0,0,0,0,0,8,0,0,0
1629,Rey Manaj,al ALB,FW,Spezia,it Serie A,24,1997,19.6,329,448,73.4,4645,721,197,253,77.9,109,137,79.6,10,14,71.4,0,1.4,0.8,-1.4,13,25,5,1,17
1630,Hianga Mananga Mbock,fr FRA,MF,Brest,fr Ligue 1,21,1999,8.9,245,275,89.1,4207,987,109,122,89.3,112,120,93.3,18,23,78.3,0,0,0.2,0,1,30,4,0,20
1631,Vincent Manceau,fr FRA,DF,Angers,fr Ligue 1,32,1989,26.2,1412,1607,87.9,28048,11724,490,521,94,727,789,92.1,190,265,71.7,0,0.2,0.3,-0.2,2,111,2,0,81
1632,Gianluca Mancini,it ITA,DF,Roma,it Serie A,25,1996,32,1533,1817,84.4,29867,11118,513,564,91,828,893,92.7,180,319,56.4,0,0.4,0.8,-0.4,6,125,16,2,98
1633,Leonardo Mancuso,it ITA,FW,Empoli,it Serie A,29,1992,4.7,51,77,66.2,806,180,32,42,76.2,11,21,52.4,7,11,63.6,0,0.3,0.2,-0.3,3,1,5,1,5
1634,Steve Mandanda,fr FRA,GK,Marseille,fr Ligue 1,36,1985,9,327,402,81.3,7761,5343,84,86,97.7,175,178,98.3,66,133,49.6,0,0,0,0,1,5,0,0,0
1635,Reinildo Mandava,mz MOZ,DF,Atlético Madrid,es La Liga,27,1994,14.4,559,688,81.3,8156,3401,310,338,91.7,194,238,81.5,24,62,38.7,0,0.2,0.2,-0.2,3,26,4,0,27
1636,Reinildo Mandava,mz MOZ,DF,Lille,fr Ligue 1,27,1994,16.9,801,961,83.4,11676,4096,478,512,93.4,274,326,84,31,71,43.7,0,0.3,0.6,-0.3,4,49,4,1,44
1637,Aïssa Mandi,dz ALG,DF,Villarreal,es La Liga,29,1991,15.3,920,990,92.9,18205,5876,322,343,93.9,469,487,96.3,119,139,85.6,0,0.1,0.1,-0.1,1,30,1,0,37
1638,Rolando Mandragora,it ITA,MF,Torino,it Serie A,24,1997,14.7,647,769,84.1,10725,3264,314,343,91.5,257,295,87.1,56,91,61.5,2,3.2,1.7,-1.2,31,83,11,6,53
1639,Anthony Mandrea,dz ALG,GK,Angers,fr Ligue 1,24,1996,10,161,273,59,5083,3669,18,18,100,80,81,98.8,62,172,36,0,0,0,0,0,3,0,0,0
1640,Sadio Mané,sn SEN,FW,Liverpool,eng Premier League,29,1992,31.3,818,1100,74.4,12061,2748,460,550,83.6,274,360,76.1,44,67,65.7,2,5.9,4.4,-3.9,41,63,61,5,98
1641,Eliaquim Mangala,fr FRA,DF,Saint-Étienne,fr Ligue 1,30,1991,13.1,503,593,84.8,10006,3171,136,157,86.6,300,331,90.6,57,84,67.9,0,0,0.1,0,1,19,1,0,21
1642,Orel Mangala,be BEL,MF,Stuttgart,de Bundesliga,23,1998,20.6,655,793,82.6,9824,2143,339,388,87.4,249,281,88.6,32,50,64,3,3,1.2,0,29,45,9,0,44
1643,Thomas Mangani,fr FRA,MF,Angers,fr Ligue 1,34,1987,24.4,1165,1491,78.1,20956,6681,538,618,87.1,423,520,81.3,155,256,60.5,2,1.9,2.3,+0.1,28,126,14,4,116
1644,Ricardo Mangas,pt POR,DF,Bordeaux,fr Ligue 1,23,1998,26.1,808,1057,76.4,13923,5183,358,424,84.4,350,443,79,74,120,61.7,1,0.9,1.5,+0.1,16,47,14,1,63
1645,Kostas Manolas,gr GRE,DF,Napoli,it Serie A,30,1991,3.5,223,234,95.3,4147,1502,86,88,97.7,114,119,95.8,22,24,91.7,0,0,0,0,0,14,0,0,7
1646,Javier Manquillo,es ESP,DF,Newcastle Utd,eng Premier League,27,1994,14,308,424,72.6,4133,1621,194,223,87,85,124,68.5,12,38,31.6,2,0.3,0.3,+1.7,4,19,0,0,11
1647,Myziane Maolida,fr FRA,MF,Nice,fr Ligue 1,22,1999,0.4,4,7,57.1,38,2,2,4,50,1,1,100,0,0,,0,0,0,0,0,0,0,0,0
1648,Myziane Maolida,fr FRA,FWMF,Hertha BSC,de Bundesliga,22,1999,8.6,155,229,67.7,1976,556,100,128,78.1,38,57,66.7,4,10,40,1,0.3,0.6,+0.7,4,4,7,1,17
1649,Sekou Mara,fr FRA,FWMF,Bordeaux,fr Ligue 1,19,2002,10.1,129,193,66.8,1844,427,74,105,70.5,37,51,72.5,8,12,66.7,0,1,0.5,-1,7,11,5,1,10
1650,Maranhão,br BRA,FWMF,Valencia,es La Liga,24,1996,10.8,122,184,66.3,1764,430,63,81,77.8,46,65,70.8,6,14,42.9,3,2.4,1.2,+0.6,13,12,6,0,17
1651,Nikola Maraš,rs SRB,DF,Rayo Vallecano,es La Liga,25,1995,11.6,370,457,81,7260,2514,119,136,87.5,208,240,86.7,39,73,53.4,0,0.1,0.1,-0.1,3,11,0,0,17
1652,Fernando Marçal,br BRA,MFDF,Wolves,eng Premier League,32,1989,16.1,669,887,75.4,10434,3383,356,394,90.4,264,347,76.1,35,87,40.2,0,0.7,0.7,-0.7,10,35,9,4,41
1653,Marcelo,br BRA,DF,Real Madrid,es La Liga,33,1988,5.8,385,466,82.6,6104,1530,203,220,92.3,145,166,87.3,23,52,44.2,2,0.8,0.8,+1.2,9,29,10,4,23
1654,Marcelo,br BRA,DF,Bordeaux,fr Ligue 1,34,1987,10,560,674,83.1,12388,4281,145,169,85.8,306,336,91.1,105,158,66.5,0,0.2,0.4,-0.2,3,23,0,0,27
1655,Marcelo,br BRA,DF,Lyon,fr Ligue 1,34,1987,2,152,168,90.5,2765,843,49,54,90.7,94,101,93.1,8,10,80,0,0,0,0,0,1,0,0,9
1656,Solly March,eng ENG,DFFW,Brighton,eng Premier League,27,1994,19.4,556,771,72.1,9536,2618,291,348,83.6,178,245,72.7,67,115,58.3,2,2.8,2.9,-0.8,35,30,33,8,48
1657,Riccardo Marchizza,it ITA,DF,Empoli,it Serie A,23,1998,15,460,667,69,7988,2761,224,253,88.5,186,247,75.3,43,114,37.7,1,1.5,1.3,-0.5,11,36,13,10,37
1658,Gian Marco Ferrari,it ITA,DF,Sassuolo,it Serie A,29,1992,34.7,2028,2259,89.8,37880,14985,726,787,92.2,1008,1083,93.1,231,297,77.8,0,0.7,0.6,-0.7,7,127,9,0,105
1659,Iván Marcone,ar ARG,MF,Elche,es La Liga,31,1990,9,355,432,82.2,6131,1902,163,190,85.8,140,153,91.5,38,54,70.4,0,0,0.1,0,0,24,1,1,21
1660,Óscar de Marcos,es ESP,DF,Athletic Club,es La Liga,32,1989,18.7,867,1145,75.7,13320,5191,497,560,88.8,289,380,76.1,60,118,50.8,2,2.2,1.7,-0.2,18,66,19,8,65
1661,Davide Marfella,it ITA,GK,Napoli,it Serie A,21,1999,0.1,1,1,100,15,9,1,1,100,0,0,,0,0,,0,0,0,0,0,0,0,0,0
1662,José Mari,es ESP,MF,Cádiz,es La Liga,33,1987,4.3,160,193,82.9,3246,842,56,63,88.9,77,82,93.9,27,41,65.9,0,0,0.1,0,1,18,2,0,15
1663,Pablo Marí,es ESP,DF,Arsenal,eng Premier League,27,1993,2,79,92,85.9,1437,481,33,37,89.2,40,41,97.6,5,11,45.5,0,0.1,0.3,-0.1,1,6,0,0,7
1664,Pablo Marí,es ESP,DF,Udinese,it Serie A,27,1993,14.9,441,621,71,9269,4255,139,166,83.7,218,271,80.4,77,161,47.8,0,0.7,0.4,-0.7,4,21,0,0,13
1665,José María Giménez,uy URU,DF,Atlético Madrid,es La Liga,26,1995,22.7,820,929,88.3,16202,5701,268,285,94,429,466,92.1,100,144,69.4,1,0.9,0.2,+0.1,5,36,0,0,34
1666,Mariano,do DOM,FW,Real Madrid,es La Liga,27,1993,3.8,42,61,68.9,602,163,26,32,81.3,11,15,73.3,3,7,42.9,1,0.7,0.6,+0.3,6,2,4,0,5
1667,Răzvan Marin,ro ROU,MF,Cagliari,it Serie A,25,1996,31.3,997,1303,76.5,18286,5962,440,503,87.5,371,435,85.3,156,285,54.7,5,7.1,5.8,-2.1,68,111,31,6,100
1668,Guillermo Maripán,cl CHI,DF,Monaco,fr Ligue 1,27,1994,20.4,1195,1350,88.5,24172,8582,343,373,92,705,747,94.4,144,208,69.2,0,0.5,0.4,-0.5,2,80,2,0,74
1669,Mika Màrmol,es ESP,DF,Barcelona,es La Liga,19,2002,0,4,5,80,49,7,3,4,75,1,1,100,0,0,,0,0,0,0,0,0,0,0,0
1670,Omar Marmoush,eg EGY,FW,Wolfsburg,de Bundesliga,22,1999,0.3,6,9,66.7,59,30,4,4,100,1,2,50,0,0,,0,0.2,0.1,-0.2,1,2,0,0,2
1671,Omar Marmoush,eg EGY,FW,Stuttgart,de Bundesliga,22,1999,17.5,309,451,68.5,4764,1246,162,211,76.8,97,133,72.9,25,46,54.3,5,2.7,2,+2.3,32,24,8,2,24
1672,Marquinhos,br BRA,DF,Paris S-G,fr Ligue 1,27,1994,31.8,2241,2408,93.1,42988,15002,788,820,96.1,1189,1235,96.3,235,308,76.3,0,0.4,1.5,-0.4,7,145,9,0,75
1673,Roger Martí,es ESP,FW,Levante,es La Liga,30,1991,23.5,313,462,67.7,4374,1057,190,240,79.2,87,126,69,18,37,48.6,3,3,1,0,23,23,15,1,40
1674,Anthony Martial,fr FRA,FW,Manchester Utd,eng Premier League,25,1995,2.4,67,86,77.9,946,198,43,51,84.3,23,28,82.1,0,2,0,0,0,0.4,0,0,5,5,0,6
1675,Anthony Martial,fr FRA,FWMF,Sevilla,es La Liga,25,1995,5.4,129,158,81.6,1757,260,76,91,83.5,32,36,88.9,7,9,77.8,1,0.1,0.2,+0.9,2,6,4,1,6
