Player,Alavés,Amiens,Angers,Arminia,Arsenal,Aston Villa,Atalanta,Athletic Club,Atlético Madrid,Augsburg,Barcelona,Bayern Munich,Benevento,Betis,Bochum,Bologna,Bordeaux,Bournemouth,Brentford,Brescia,Brest,Brighton,Burnley,Caen,Cagliari,Cardiff City,Celta Vigo,Chelsea,Chievo,Clermont Foot,Crotone,Crystal Palace,Cádiz,Dijon,Dortmund,Düsseldorf,Eibar,Eint Frankfurt,Elche,Empoli,Espanyol,Everton,Fiorentina,Freiburg,Frosinone,Fulham,Genoa,Getafe,Girona,Granada,Greuther Fürth,Guingamp,Hamburger SV,Hannover 96,Hellas Verona,Hertha BSC,Hoffenheim,Huddersfield,Huesca,Inter,Juventus,Köln,La Coruña,Las Palmas,Lazio,Lecce,Leeds United,Leganés,Leicester City,Lens,Levante,Leverkusen,Lille,Liverpool,Lorient,Lyon,M'Gladbach,Mainz 05,Mallorca,Manchester City,Manchester Utd,Marseille,Metz,Milan,Monaco,Montpellier,Málaga,Nantes,Napoli,Newcastle Utd,Nice,Norwich City,Nîmes,Nürnberg,Osasuna,Paderborn 07,Paris S-G,Parma,RB Leipzig,Rayo Vallecano,Real Madrid,Real Sociedad,Reims,Rennes,Roma,SPAL,Saint-Étienne,Salernitana,Sampdoria,Sassuolo,Schalke 04,Sevilla,Sheffield Utd,Southampton,Spezia,Stoke City,Strasbourg,Stuttgart,Swansea City,Torino,Tottenham,Toulouse,Troyes,Udinese,Union Berlin,Valencia,Valladolid,Venezia,Villarreal,Watford,Werder Bremen,West Brom,West Ham,Wolfsburg,Wolves
Adama Soumaoro,,,,,,,,,,,,,,,,60.10225967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.55215641,,,,,,,,,,,,,,,,,,,,,,,,,,38.3713217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adama Traoré,,,,,,,,,,,39.70891334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.77162809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.25864319
Aday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.79951771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adel Taarabt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.48360537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adem Ljajić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.24753871,,,,,,,,,,,,,,,
Ademola Lookman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.04906542,,,,60.4778861,,,,,,,,,,,,,,,,,,,,,,,38.43354107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.68686052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adil Aouchiche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.67961421,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adil Rami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.69179144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.66567763,,,,,,,,,,,,
Admir Mehmedi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.35511373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.41708583,
Adnan Januzaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.73445549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
