Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Alejandro Asensio,es ESP,FW,Rayo Vallecano,es La Liga,20,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Marco Asensio,es ESP,FWMF,Real Madrid,es La Liga,25,1996,19,12,8,6,4,2,4,18,22.2,14,8,1,7,12,24,6,1
Harrison Ashby,sct SCO,DF,West Ham,eng Premier League,19,2001,0,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0
Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,20,2001,8,18,6,7,11,0,9,19,47.4,10,14,7,7,15,33,15,0
Fisnik Asllani,xk KVX,MFFW,Hoffenheim,de Bundesliga,18,2002,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Kristjan Asllani,al ALB,MF,Empoli,it Serie A,19,2002,15,18,9,9,8,1,11,29,37.9,18,16,7,9,19,37,15,1
Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,33,1987,34,14,7,1,5,8,4,24,16.7,20,23,2,21,11,25,19,0
Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,21,2000,7,15,10,11,3,1,5,9,55.6,4,3,1,2,11,26,19,0
Simon Asta,de GER,DF,Greuther Fürth,de Bundesliga,20,2001,9,13,6,4,5,4,4,8,50.0,4,14,2,12,8,21,16,0
Youcef Atal,dz ALG,DF,Nice,fr Ligue 1,25,1996,13,29,19,17,10,2,14,25,56.0,11,13,2,11,32,61,21,0
Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,32,1989,12,11,5,6,4,1,3,10,30.0,7,12,1,11,0,11,4,0
Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,es La Liga,32,1989,12,2,2,0,1,1,0,5,0.0,5,9,1,8,2,4,4,0
Emil Audero,it ITA,GK,Sampdoria,it Serie A,24,1997,28,3,1,3,0,0,3,5,60.0,2,0,0,0,2,5,17,2
Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,26,1994,27,36,20,22,8,6,17,29,58.6,12,19,4,15,29,65,68,1
Jean-Kévin Augustin,fr FRA,FWMF,Nantes,fr Ligue 1,24,1997,1,1,0,0,0,1,0,3,0.0,3,1,0,1,0,1,0,0
Ludwig Augustinsson,se SWE,DFFW,Sevilla,es La Liga,27,1994,9,18,14,11,3,4,8,13,61.5,5,10,3,7,5,23,21,0
Serge Aurier,ci CIV,DF,Villarreal,es La Liga,28,1992,11,14,9,11,2,1,4,7,57.1,3,14,7,7,11,25,25,0
Ezequiel Ávila,ar ARG,FWMF,Osasuna,es La Liga,27,1994,21,17,7,6,7,4,7,21,33.3,14,14,2,12,13,30,15,1
Taiwo Awoniyi,ng NGA,FW,Union Berlin,de Bundesliga,23,1997,24,11,7,3,6,2,1,9,11.1,8,11,2,9,2,13,29,0
Ramzi Aya,it ITA,DF,Salernitana,it Serie A,30,1990,2,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,4,0
Jordan Ayew,gh GHA,FW,Crystal Palace,eng Premier League,29,1991,22,47,30,20,20,7,17,31,54.8,14,33,3,30,15,62,15,0
Kaan Ayhan,tr TUR,DF,Sassuolo,it Serie A,26,1994,15,20,12,14,6,0,7,15,46.7,8,20,14,6,13,33,57,0
Luke Ayling,eng ENG,DF,Leeds United,eng Premier League,29,1991,25,74,42,46,23,5,51,97,52.6,46,46,25,21,28,102,52,1
Karim Azamoum,fr FRA,DF,Troyes,fr Ligue 1,31,1990,4,6,5,4,2,0,3,5,60.0,2,4,2,2,1,7,10,0
Sardar Azmoun,ir IRN,FWMF,Leverkusen,de Bundesliga,26,1995,4,3,1,0,2,1,0,5,0.0,5,2,0,2,0,3,8,0
César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,31,1989,23,51,28,18,27,6,16,35,45.7,19,32,9,23,23,74,65,1
Iddrisu Baba,gh GHA,MF,Mallorca,es La Liga,25,1996,22,57,30,31,23,3,25,43,58.1,18,19,5,14,24,81,34,1
Carlos Bacca,co COL,FW,Granada,es La Liga,34,1986,6,4,4,2,0,2,0,3,0.0,3,5,0,5,1,5,5,0
Daniel Bachmann,at AUT,GK,Watford,eng Premier League,27,1994,12,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0
Loïc Bade,fr FRA,DF,Rennes,fr Ligue 1,21,2000,11,6,5,4,2,0,3,5,60.0,2,12,10,2,12,18,48,0
Milan Badelj,hr CRO,MF,Genoa,it Serie A,32,1989,32,64,37,25,30,9,34,80,42.5,46,39,7,32,85,149,43,0
Édgar Badía,es ESP,GK,Elche,es La Liga,29,1992,24,0,0,0,0,0,0,0,,0,0,0,0,0,0,16,2
Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,20,2001,20,36,19,21,15,0,14,23,60.9,9,18,12,6,28,64,68,1
Youssouph Badji,sn SEN,FWMF,Brest,fr Ligue 1,19,2001,2,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0
